D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
2.65,0.9832347361873123
2.6509018036072143,0.9825805068826002
2.6518036072144286,0.9818753324598928
2.652705410821643,0.9811212774400712
2.653607214428858,0.9803205733847921
2.654509018036072,0.9794759169246873
2.6554108216432866,0.9785902724866731
2.656312625250501,0.9776668289789429
2.6572144288577153,0.976708584911453
2.6581162324649297,0.9757203772838868
2.659018036072144,0.974705905709799
2.6599198396793584,0.9736697279508103
2.6608216432865732,0.9726162161844445
2.6617234468937876,0.9715504192343455
2.662625250501002,0.9704774345231677
2.6635270541082163,0.9694023674007634
2.6644288577154307,0.9683293031888284
2.665330661322645,0.9672649032477345
2.6662324649298594,0.9662130361380491
2.6671342685370742,0.9651790319345412
2.6680360721442886,0.9641683214891891
2.668937875751503,0.9631849338058422
2.6698396793587174,0.9622340037418651
2.6707414829659317,0.9613192807806118
2.671643286573146,0.9604451362921758
2.6725450901803605,0.9596152971306386
2.6734468937875753,0.9588324764994075
2.6743486973947896,0.958100394716366
2.675250501002004,0.9574216891188758
2.6761523046092184,0.9567980054274831
2.6770541082164327,0.9562314487547017
2.677955911823647,0.9557232356515724
2.6788577154308615,0.9552741296454511
2.679759519038076,0.9548843674789546
2.6806613226452907,0.9545543441079295
2.681563126252505,0.9542839093014474
2.6824649298597194,0.9540715649686468
2.6833667334669338,0.9539168996517989
2.684268537074148,0.9538178143825197
2.6851703406813625,0.9537729495747318
2.686072144288577,0.9537794556433254
2.6869739478957917,0.9538357338854766
2.687875751503006,0.9539383139958032
2.6887775551102204,0.9540854320556419
2.689679358717435,0.9542728491165037
2.690581162324649,0.9544981725290179
2.6914829659318635,0.954758112413657
2.692384769539078,0.9550494988768181
2.6932865731462927,0.9553687905698596
2.694188376753507,0.9557130872725516
2.6950901803607215,0.9560791336940901
2.695991983967936,0.9564635204597148
2.69689378757515,0.9568634165276722
2.6977955911823646,0.9572762873367603
2.698697394789579,0.9576987453084282
2.6995991983967933,0.9581287541412369
2.700501002004008,0.9585638964344579
2.7014028056112225,0.959001605338964
2.702304609218437,0.9594398954325206
2.703206412825651,0.9598775066041361
2.7041082164328656,0.9603122892327031
2.70501002004008,0.960742782343037
2.7059118236472943,0.961166902521604
2.706813627254509,0.9615844749781949
2.7077154308617235,0.9619946225314183
2.708617234468938,0.9623954309546258
2.7095190380761522,0.962786625619989
2.7104208416833666,0.9631670609804285
2.711322645290581,0.96353601299651
2.7122244488977953,0.9638927834598465
2.71312625250501,0.9642370217054728
2.7140280561122245,0.9645673569837844
2.714929859719439,0.9648833734319252
2.7158316633266533,0.9651838444739115
2.7167334669338676,0.9654680492598892
2.717635270541082,0.9657351082391434
2.7185370741482964,0.9659836188310199
2.719438877755511,0.9662118974646792
2.7203406813627256,0.9664190205165972
2.72124248496994,0.9666035624811621
2.7221442885771543,0.9667633168976948
2.7230460921843687,0.9668960637478701
2.723947895791583,0.967000671746757
2.7248496993987974,0.9670750341390437
2.7257515030060118,0.9671163944353417
2.7266533066132266,0.9671228814209548
2.727555110220441,0.9670922896562468
2.7284569138276553,0.9670218126874792
2.7293587174348697,0.9669092865908114
2.730260521042084,0.9667524355495504
2.7311623246492984,0.966548862926712
2.732064128256513,0.9662959572428301
2.7329659318637276,0.9659927760388
2.733867735470942,0.9656371686432939
2.7347695390781563,0.9652263562595754
2.7356713426853707,0.9647600190029122
2.736573146292585,0.9642367492232026
2.7374749498997994,0.9636558139596512
2.738376753507014,0.9630162436644905
2.739278557114228,0.9623186277216357
2.740180360721443,0.9615626255794627
2.7410821643286574,0.9607497028891581
2.7419839679358717,0.9598805722854138
2.742885771543086,0.9589569575804266
2.7437875751503005,0.9579806398485144
2.744689378757515,0.9569550484240609
2.745591182364729,0.9558821497233627
2.746492985971944,0.954765925435521
2.7473947895791584,0.9536109014315901
2.7482965931863728,0.9524201978013552
2.749198396793587,0.9511990364536395
2.7501002004008015,0.9499526594542208
2.751002004008016,0.9486854065476219
2.7519038076152302,0.9474040351098614
2.752805611222445,0.9461136962288123
2.7537074148296594,0.9448201492073265
2.754609218436874,0.9435286970993126
2.755511022044088,0.9422467173425124
2.7564128256513025,0.9409788483390829
2.757314629258517,0.9397309391346907
2.7582164328657313,0.9385084248329808
2.7591182364729456,0.9373174964136912
2.7600200400801604,0.9361612457101931
2.760921843687375,0.935046002888257
2.761823647294589,0.9339741311358313
2.7627254509018035,0.9329501776771243
2.763627254509018,0.9319769994465912
2.7645290581162323,0.9310569686307815
2.7654308617234467,0.9301900167706831
2.7663326653306615,0.9293789496561576
2.767234468937876,0.9286235695563783
2.76813627254509,0.9279226806937256
2.7690380761523046,0.9272754063848513
2.769939879759519,0.9266801052812351
2.7708416833667333,0.9261331182392045
2.7717434869739477,0.9256306156915236
2.7726452905811625,0.9251700200262403
2.773547094188377,0.9247445979947787
2.7744488977955912,0.924350111693882
2.7753507014028056,0.9239791374078898
2.77625250501002,0.9236267134923338
2.7771543086172343,0.9232841678102105
2.7780561122244487,0.9229447972641746
2.778957915831663,0.922600144634949
2.779859719438878,0.9222415919643215
2.7807615230460923,0.9218613707445618
2.7816633266533066,0.9214512014444765
2.782565130260521,0.9210008687318622
2.7834669338677354,0.9205032765757862
2.7843687374749497,0.9199487148886709
2.785270541082164,0.9193282107787676
