D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
1.87,0.9961353260130917
1.8740080160320642,0.996322287917963
1.8780160320641284,0.9966253492726405
1.8820240480961925,0.9969850464311493
1.8860320641282566,0.9973391393001988
1.8900400801603208,0.9976399955599785
1.894048096192385,0.9978598697187836
1.898056112224449,0.9979983905161879
1.9020641282565132,0.9980750394611633
1.9060721442885773,0.9981187979000967
1.9100801603206414,0.9981552079424385
1.9140881763527056,0.998195492459921
1.9180961923847697,0.9982311990679918
1.9221042084168338,0.9982348781200869
1.926112224448898,0.9981751040837311
1.930120240480962,0.9980169056518549
1.9341282565130262,0.997747492928013
1.9381362725450904,0.9973791143033712
1.9421442885771545,0.9969521430090029
1.9461523046092186,0.9965275430822926
1.9501603206412828,0.9961777317067231
1.9541683366733469,0.9959604681366133
1.958176352705411,0.9959125034284116
1.9621843687374751,0.9960358588583411
1.9661923847695393,0.9962986243309082
1.9702004008016032,0.9966439515582988
1.9742084168336675,0.9970053830748383
1.9782164328657315,0.9973238754941969
1.9822244488977956,0.9975615172582004
1.9862324649298597,0.9977081270891285
1.9902404809619239,0.9977792012843906
1.994248496993988,0.9978063012251142
1.9982565130260521,0.9978228632636259
2.0022645290581162,0.9978520940818898
2.0062725450901806,0.9978947242150658
2.0102805611222445,0.9979304678318717
2.014288577154309,0.997922883174022
2.018296593186373,0.997832336315324
2.022304609218437,0.9976310318513164
2.026312625250501,0.9973156859298502
2.0303206412825654,0.9969136130451556
2.0343286573146293,0.9964798292535797
2.0383366733466937,0.9960850247843321
2.0423446893787576,0.9958002649192718
2.046352705410822,0.9956748176043011
2.050360721442886,0.9957267968295733
2.05436873747495,0.9959364923601963
2.058376753507014,0.9962524193847888
2.0623847695390785,0.9966055357898409
2.0663927855711424,0.9969277172488793
2.0704008016032063,0.9971689700781209
2.0744088176352706,0.9973084023654962
2.078416833667335,0.9973560125188716
2.082424849699399,0.9973451830534367
2.086432865731463,0.9973185281317771
2.090440881763527,0.9973116562041503
2.094448897795591,0.997339948758176
2.0984569138276554,0.997392491380974
2.1024649298597193,0.997435106583554
2.1064729458917837,0.9974216746480895
2.1104809619238476,0.9973103483131968
2.114488977955912,0.9970796523266521
2.118496993987976,0.9967393075953773
2.12250501002004,0.9963320225504559
2.126513026052104,0.9959251131321369
2.1305210420841685,0.9955939347700905
2.1345290581162324,0.9954017949444932
2.1385370741482967,0.9953823417265453
2.1425450901803607,0.9955298798173222
2.146553106212425,0.9958007281744441
2.150561122244489,0.9961253261281455
2.1545691382765533,0.9964274547529696
2.158577154308617,0.9966447808996199
2.1625851703406815,0.9967446349278284
2.1665931863727454,0.9967305073504977
2.17060120240481,0.996637634906546
2.1746092184368737,0.9965195916464386
2.178617234468938,0.996427869543153
2.182625250501002,0.9963998914547251
2.1866332665330663,0.9964378841727337
2.1906412825651302,0.996516517713905
2.1946492985971946,0.9965846851470218
2.1986573146292585,0.9965906381900541
2.202665330661323,0.9964918075023091
2.2066733466933868,0.9962709016961117
2.210681362725451,0.9959526532525468
2.214689378757515,0.9955923881574014
2.2186973947895794,0.9952655747801291
2.2227054108216433,0.9950426224618087
2.2267134268537077,0.9949715195790556
2.2307214428857716,0.9950605984682338
2.234729458917836,0.995274215324758
2.2387374749499,0.9955446892980966
2.242745490981964,0.9957883195261444
2.246753507014028,0.9959281037960431
2.2507615230460924,0.9959213329510495
2.2547695390781564,0.9957609544270843
2.2587775551102203,0.995490028593802
2.2627855711422846,0.9951744256859066
2.266793587174349,0.994892159398763
2.270801603206413,0.9947071816924365
2.274809619238477,0.994654068980647
2.278817635270541,0.9947245358240903
2.2828256513026055,0.9948687842790609
2.2868336673346694,0.9950236882279617
2.2908416833667333,0.995120336492678
2.2948496993987977,0.9951182483016624
2.298857715430862,0.9950043317387975
2.302865731462926,0.9948146221729552
2.30687374749499,0.9946078188294641
2.310881763527054,0.9944534132347221
2.314889779559118,0.9944069500390289
2.3188977955911825,0.9944826582495061
2.3229058116232464,0.9946524503646186
2.3269138276553107,0.9948452434808024
2.3309218436873747,0.9949653293420352
2.334929859719439,0.9949211023859292
2.338937875751503,0.9946544148058329
2.3429458917835673,0.994152739010452
2.346953907815631,0.9934686926484305
2.3509619238476955,0.9926948867407319
2.3549699398797594,0.9919530193248607
2.358977955911824,0.991356278564809
2.3629859719438877,0.9909929837134193
2.366993987975952,0.9908926243236771
2.371002004008016,0.9910362265694032
2.3750100200400803,0.9913497631698641
2.3790180360721442,0.9917478540411349
2.3830260521042086,0.9921431392407325
2.3870340681362725,0.9924813774904473
2.391042084168337,0.9927439876789588
2.3950501002004008,0.9929539704090893
2.399058116232465,0.9931530973441661
2.403066132264529,0.9933781488142316
2.4070741482965934,0.9936339429540606
2.4110821643286573,0.9938762210963701
2.4150901803607217,0.9940110272471958
2.4190981963927856,0.993912601677918
2.42310621242485,0.9934557124370182
2.427114228456914,0.9925533614224771
2.431122244488978,0.9911886638357661
2.435130260521042,0.9894311225709383
2.4391382765531064,0.9874319815007027
2.4431462925851704,0.985399341073015
2.4471543086172343,0.9835593678396557
2.4511623246492986,0.9821135890993157
2.455170340681363,0.9812029939698635
2.459178356713427,0.9808874567053215
2.463186372745491,0.9811445971594625
2.467194388777555,0.9818868634516034
2.4712024048096195,0.9829900338437575
2.4752104208416834,0.9843287744474563
2.4792184368737473,0.985794329478098
2.4832264529058117,0.9873111805648606
2.487234468937876,0.9888246088315297
2.49124248496994,0.9902769525570259
2.495250501002004,0.9915765327673742
2.499258517034068,0.9925717656885242
2.5032665330661326,0.9930486503484617
2.5072745490981965,0.9927416227931907
2.5112825651302604,0.9913863485002511
2.5152905811623247,0.9887758010171614
2.519298597194389,0.9848214545591072
2.523306613226453,0.9795967207931132
2.527314629258517,0.9733506087340325
2.5313226452905813,0.9664869605965277
2.5353306613226456,0.9595078526797118
2.5393386773547095,0.9529763090208765
2.5433466933867734,0.9473848989697898
2.547354709418838,0.943159342453364
2.5513627254509017,0.9405916098286792
2.555370741482966,0.9398343858647872
2.55937875751503,0.9409106870632049
2.5633867735470943,0.9437319596621563
2.5673947895791582,0.9481484189618942
2.5714028056112226,0.9539171528204191
2.5754108216432865,0.9607504825090508
2.579418837675351,0.9682662909502711
2.5834268537074148,0.9759556183302042
2.587434869739479,0.983125080075909
2.591442885771543,0.9888575999500018
2.5954509018036074,0.9920202386916349
2.5994589178356713,0.9913093057460234
2.6034669338677356,0.9853601324774504
2.6074749498997996,0.9728885731784125
2.611482965931864,0.9528880456918433
2.615490981963928,0.9246731731700377
2.619498997995992,0.8880648242516382
2.623507014028056,0.8433116031448766
2.6275150300601204,0.7910350540299527
